"","Year","Organisation","Connect"
"395",2003,"Independent Community Bankers of America","HCFS Chair"
"109",2003,"National Association for Business Economics","Federal Reserve"
"110",2003,"National Bureau of Economic Research","Federal Reserve"
"111",2003,"World Bank","Federal Reserve"
"466",2004,"Bond Market Association","HCFS Chair"
"112",2004,"Bond Market Association","Federal Reserve"
"475",2004,"Credit Union National Associaiton","HCFS Chair"
"115",2004,"Duke University","Federal Reserve"
"116",2004,"Federal Reserve Bank of Chicago","Federal Reserve"
"120",2004,"Federal Reserve Bank of Kansas","Federal Reserve"
"122",2004,"Federal Reserve Bank of San Francisco","Federal Reserve"
"124",2004,"Federal Reserve Bank of St Louis","Federal Reserve"
"481",2004,"Independent Community Bankers","HCFS Chair"
"127",2004,"SIFMA","Federal Reserve"
"128",2005,"European Central Bank","Federal Reserve"
"131",2005,"Federal Reserve Bank of Chicago","Federal Reserve"
"133",2005,"Federal Reserve Bank of Cleveland","Federal Reserve"
"134",2005,"Federal Reserve Bank of Kansas","Federal Reserve"
"137",2005,"Federal Reserve Bank of Philadelphia","Federal Reserve"
"138",2005,"Federal Reserve Bank of San Francisco","Federal Reserve"
"139",2005,"New York University","Federal Reserve"
"577",2005,"the Independent Community Bankers of America","HCFS Chair"
"140",2006,"American Bankers Association","Federal Reserve"
"144",2006,"European Central Bank","Federal Reserve"
"147",2006,"Federal Reserve Bank of Boston","Federal Reserve"
"148",2006,"Federal Reserve Bank of Chicago","Federal Reserve"
"149",2006,"Federal Reserve Bank of Kansas","Federal Reserve"
"151",2006,"Federal Reserve Bank of New York","Federal Reserve"
"653",2006,"Independent Community Bankers of America","HCFS Chair"
"689",2006,"Mortgage Bankers Association ","HCFS Chair"
"754",2007,"American Bankers Association","HCFS Chair"
"152",2007,"Duke University","Federal Reserve"
"153",2007,"Federal Reserve Bank of Chicago","Federal Reserve"
"154",2007,"Federal Reserve Bank of Dallas","Federal Reserve"
"157",2007,"Federal Reserve Bank of Kansas","Federal Reserve"
"159",2007,"Federal Reserve Bank of Philadelphia","Federal Reserve"
"160",2007,"Federal Reserve Bank of San Francisco","Federal Reserve"
"162",2007,"Federal Reserve Bank of St Louis","Federal Reserve"
"163",2007,"New York University","Federal Reserve"
"164",2007,"Princeton University","Federal Reserve"
"730",2007,"the Independent Community Bankers of America","HCFS Chair"
"833",2008,"American Bankers Association","HCFS Chair"
"165",2008,"American Bankers Association","Federal Reserve"
"810",2008,"American Bankers Association ","HCFS Chair"
"166",2008,"European Central Bank","Federal Reserve"
"167",2008,"Federal Reserve Bank of Boston","Federal Reserve"
"169",2008,"Federal Reserve Bank of Chicago","Federal Reserve"
"170",2008,"Federal Reserve Bank of Kansas","Federal Reserve"
"171",2008,"Federal Reserve Bank of New York","Federal Reserve"
"172",2008,"Federal Reserve Bank of Richmond","Federal Reserve"
"173",2008,"Federal Reserve Bank of San Francisco","Federal Reserve"
"834",2008,"Harvard University","HCFS Chair"
"174",2008,"Harvard University","Federal Reserve"
"806",2008,"Independent Community Bankers of America ","HCFS Chair"
"869",2009,"American Bankers Association","HCFS Chair"
"175",2009,"American Bankers Association","Federal Reserve"
"176",2009,"BIS","Federal Reserve"
"177",2009,"Brookings Institution Institution","Federal Reserve"
"179",2009,"College of Wooster","Federal Reserve"
"180",2009,"Federal Reserve Bank of Boston","Federal Reserve"
"182",2009,"Federal Reserve Bank of Chicago","Federal Reserve"
"183",2009,"Federal Reserve Bank of Cleveland","Federal Reserve"
"184",2009,"Federal Reserve Bank of Kansas","Federal Reserve"
"186",2009,"Federal Reserve Bank of Richmond","Federal Reserve"
"187",2009,"Federal Reserve Bank of San Francisco","Federal Reserve"
"874",2009,"Independent Community Bankers of America","HCFS Ranking"
"8741",2009,"Independent Community Bankers of America","HCFS Chair"
"188",2009,"London School of Economics","Federal Reserve"
"189",2009,"New York University","Federal Reserve"
"190",2009,"Princeton University","Federal Reserve"
"191",2010,"European Central Bank","Federal Reserve"
"193",2010,"Federal Reserve Bank of Boston","Federal Reserve"
"194",2010,"Federal Reserve Bank of Chicago","Federal Reserve"
"195",2010,"Federal Reserve Bank of Kansas","Federal Reserve"
"196",2010,"Federal Reserve Bank of Philadelphia","Federal Reserve"
"197",2010,"Federal Reserve Bank of Richmond","Federal Reserve"
"198",2010,"Federal Reserve Bank of San Francisco","Federal Reserve"
"930",2010,"Harvard University ","HCFS Chair"
"931",2010,"Independent Community Bankers of America","HCFS Ranking"
"9311",2010,"Independent Community Bankers of America","HCFS Chair"
"200",2010,"New York University","Federal Reserve"
"201",2010,"Princeton University","Federal Reserve"
"1008",2011,"American Bankers Association","HCFS Ranking"
"10081",2011,"American Bankers Association","HCFS Chair"
"202",2011,"American Bankers Association","Federal Reserve"
"203",2011,"Bank of Japan","Federal Reserve"
"204",2011,"Federal Reserve Bank of Boston","Federal Reserve"
"206",2011,"Federal Reserve Bank of Chicago","Federal Reserve"
"209",2011,"Federal Reserve Bank of Cleveland","Federal Reserve"
"210",2011,"Federal Reserve Bank of Kansas","Federal Reserve"
"211",2011,"Federal Reserve Bank of New York","Federal Reserve"
"212",2011,"Federal Reserve Bank of Richmond","Federal Reserve"
"214",2011,"Federal Reserve Bank of San Francisco","Federal Reserve"
"991",2011,"Independent Community Bankers of America","HCFS Chair"
"215",2012,"Brookings Institution Institution","Federal Reserve"
"217",2012,"European Central Bank","Federal Reserve"
"218",2012,"Federal Reserve Bank of Chicago","Federal Reserve"
"223",2012,"Federal Reserve Bank of New York","Federal Reserve"
"224",2012,"Federal Reserve Bank of San Francisco","Federal Reserve"
"1042",2012,"Independent Community Bankers of America","HCFS Chair"
"1064",2012,"National Association of Realtors","HCFS Ranking"
"10641",2012,"National Association of Realtors","HCFS Chair"
"230",2012,"Yale University","Federal Reserve"
